feature,gain
member_card_level,0.5045362
t0_payment,0.06896946
t0_shipping,0.06790999
t0_n_distinct_salepages,0.052193377
sleep_days,0.04838184
hist_avg_ticket,0.01698533
t0_channel,0.015838647
recent_180d_n_orders,0.011320024
recent_90d_n_orders,0.009961842
recent_365d_n_orders,0.00947802
hist_distinct_salepages,0.008524781
t0_payment_matches_hist,0.008402608
is_app_installed,0.0072425576
gap_std,0.007114616
hist_n_orders,0.006971349
t0_channel_matches_hist,0.0062708696
register_source,0.006068916
sleep_vs_ci_ratio,0.0060383254
t0_month,0.0057769227
hist_repeat_sku_ratio,0.0056199273
hist_total_amount,0.0053778132
hist_max_ticket,0.005096627
personal_ci,0.0050853025
t0_amount,0.00484187
pre_dormancy_90d_amount,0.004710779
days_since_register,0.0046926453
t0_ts_count,0.0046541896
t0_avg_unit_price,0.004411737
t0_discount_ratio,0.0044095134
t0_max_unit_price,0.00420608
hist_discount_ratio,0.004175872
gap_cv,0.004115178
t0_vs_avg_ticket_ratio,0.0041043614
t0_vs_max_ticket_ratio,0.0040688603
member_tenure_days,0.0040335166
hist_total_qty,0.0039635706
hist_coupon_order_ratio,0.003941734
pre_dormancy_90d_n_orders,0.0039153513
t0_qty,0.003878446
t0_qty_vs_avg,0.0038103203
hist_return_ratio,0.003781866
t0_min_unit_price,0.0037475987
t0_discount_vs_hist_ratio,0.0036900828
t0_used_coupon_vs_hist,0.003672577
age_at_t0,0.003594267
t0_is_big_promo,0.0035504994
t0_weekday,0.0035449404
marketing_optin_count,0.0032444107
gender,0.0031599125
hist_main_channel,0.0029963295
hist_main_payment,0.0025536644
t0_buys_familiar_product,0.0013643979
was_sealed,0.0
t0_used_coupon,0.0
prior_once_only,0.0
country_code,0.0
t0_is_weekend,0.0
