feature,mean_abs_shap
member_card_level,0.76060855
sleep_days,0.3635063
member_tenure_days,0.16422008
hist_avg_ticket,0.13592912
t0_payment,0.083854795
gap_std,0.07963965
t0_amount,0.06486109
age_at_t0,0.06356265
hist_total_amount,0.059044044
t0_month,0.053252272
is_app_installed,0.051388208
days_since_register,0.050432093
hist_total_qty,0.049603637
pre_dormancy_90d_amount,0.048677485
t0_min_unit_price,0.047886122
hist_n_orders,0.047098193
hist_max_ticket,0.045799512
register_source,0.041565787
t0_avg_unit_price,0.040539294
recent_365d_n_orders,0.040064003
t0_n_distinct_salepages,0.03824848
recent_180d_n_orders,0.037948754
hist_discount_ratio,0.037437737
t0_discount_ratio,0.03716429
t0_vs_avg_ticket_ratio,0.036042992
t0_max_unit_price,0.035859108
t0_vs_max_ticket_ratio,0.035497397
t0_discount_vs_hist_ratio,0.03440277
personal_ci,0.0337719
gap_cv,0.032780632
t0_shipping,0.032399062
sleep_vs_ci_ratio,0.03239224
t0_qty_vs_avg,0.031027537
t0_ts_count,0.028904187
pre_dormancy_90d_n_orders,0.024174504
hist_distinct_salepages,0.02344172
t0_weekday,0.022059985
recent_90d_n_orders,0.016078617
gender,0.013870423
hist_repeat_sku_ratio,0.013422394
hist_return_ratio,0.011967124
t0_qty,0.010441415
marketing_optin_count,0.0074647623
hist_coupon_order_ratio,0.003058998
t0_used_coupon_vs_hist,0.0023488489
t0_is_big_promo,0.0015042649
t0_channel,0.0013165773
t0_channel_matches_hist,0.001048021
t0_buys_familiar_product,0.00095353153
t0_payment_matches_hist,0.00066985947
hist_main_channel,0.00036477784
hist_main_payment,0.0003193963
was_sealed,0.0
t0_used_coupon,0.0
prior_once_only,0.0
country_code,0.0
t0_is_weekend,0.0
